task_id,difficulty,train_pairs,input_shape,output_shape,transform_kind,input_area,output_area,area_ratio_out_in,input_nonzero_density,output_nonzero_density,input_colors,output_colors,input_nonzero_color_count,output_nonzero_color_count,output_colors_subset_input,input_components,output_components,same_shape_changed_cells,good_hypothesis_words,good_hypothesis,pred_shape,pred_matches_shape,pred_nonzero_density
150deff5,Easy,0,8x11,8x11,same-size edit/reconstruction,88,88,1.0,0.273,0.273,05,028,1,2,False,1,6,24,91,"Describing the input grid: A black grid contains a single grey object that can be interpreted as larger “rooms” connected by narrow “corridors.”
Describing the size of the output grid: The output grid dimensions are unchanged.
Describing how to transform the grid: Keep black background cells unchanged. Identify the maximal compact regions of the grey object that have thickness 2 in both directions, i.e. the room-like 2x2 square chunks, and color those cells teal 8. Color every grey cell that lies in a one-cell-wide corridor, bridge, or protruding line red 2.",8x11,True,0.273
28e73c20,Easy,0,18x18,18x18,same-size edit/reconstruction,324,324,1.0,0.0,0.556,0,03,0,1,False,0,1,180,120,"Describing the input grid: The input is an empty black square, and only its side length matters.
Describing the size of the output grid: The output grid is the same square size as the input.
Describing how to transform the grid: Recursively draw nested green frames. For a current square region, color its top edge, right edge, bottom edge, and the left edge except for the cell directly below the top-left corner. Also color the connector cell two rows below and one column right of the region’s top-left corner when it exists. Then repeat the same operation inside the sub-square obtained by moving 2 cells inward from the top-left and 2 cells inward from the bottom-right, until no sub-square remains.",18x18,True,0.552
39e1d7f9,Easy,0,29x29,29x29,same-size edit/reconstruction,841,841,1.0,0.581,0.681,03468,03468,4,4,True,13,34,84,111,"Describing the input grid: The input is a regular lattice of blank compartments, with some compartments filled by colored blocks; one non-separator color acts as a seed and another as the fill color.
Describing the size of the output grid: The output grid is the same size as the input grid.
Describing how to transform the grid: Determine which one-step neighborhood positions around a seed compartment are already occupied by the fill color anywhere in the grid. Then apply this learned local rule to every seed compartment: every black compartment at one of those relative neighborhood positions becomes the fill color, while all existing colored cells and separator lines stay unchanged.",29x29,True,0.6
60b61512,Easy,0,9x9,9x9,same-size edit/reconstruction,81,81,1.0,0.111,0.222,04,047,1,2,False,3,8,9,85,"Describing the input grid: The input contains separated groups of yellow cells on a black background.
Describing the size of the output grid: The output grid has the same dimensions as the input grid.
Describing how to transform the grid: For each yellow group, identify the rows and columns occupied by that group. Any black cell whose row and column are both occupied by that same group is changed to orange, while the original yellow cells remain yellow and all other black cells stay black.",9x9,True,0.173
776ffc46,Easy,0,20x20,20x20,same-size edit/reconstruction,400,400,1.0,0.27,0.27,0125,0125,3,3,True,11,11,10,99,"Describing the input grid: The grid contains one complete grey rectangular frame with a colored prototype shape inside it, plus several separate blue shapes outside the frame.
Describing the size of the output grid: The output grid is the same size as the input grid.
Describing how to transform the grid: Find the non-grey, non-black colored object inside the complete grey rectangular frame. Then find every blue connected component outside the frame whose cropped cell pattern is exactly the same shape in the same orientation. Recolor those matching blue components to the prototype’s color, leaving all other cells unchanged.",20x20,True,0.27
d07ae81c,Easy,0,17x19,17x19,same-size edit/reconstruction,323,323,1.0,1.0,1.0,1348,1348,4,4,True,10,64,39,111,"Describing the input grid: The input is a grid made mostly from two large background colors, with a few rare marker colors embedded inside those backgrounds.
Describing the size of the output grid: The output grid has the same height and width as the input grid.
Describing how to transform the grid: For every rare marker cell, draw both full diagonal lines through it, one NW-SE and one NE-SW. Any cell lying on one of those diagonals is recolored according to the background color it originally had: each background color is replaced by the rare marker color that appears inside that background color. Cells not on any drawn diagonal stay unchanged.",17x19,True,1.0
e6721834,Easy,0,24x12,12x12,crop/extract/compress,288,144,0.5,1.0,1.0,1248,148,4,3,True,16,8,,141,"Describing the input grid: The grid is divided into two large rectangular panels with different background colors; one panel contains complete colored objects with a main body color and some embedded marker-color cells, while the other panel contains only background plus sparse marker-color cells.
Describing the size of the output grid: The output grid has the same size as the sparse-marker panel.
Describing how to transform the grid: Use the complete-object panel as a library of templates. For each object, record the relative positions and colors of its embedded marker cells, ignoring the main body color and the panel background. If that exact marker pattern appears translated somewhere in the sparse-marker panel, copy the entire object into the output at that translated position, replacing the sparse markers with the full object. Fill all other cells with the sparse panel’s background color.",24x12,False,1.0
e73095fd,Easy,0,16x18,16x18,same-size edit/reconstruction,288,288,1.0,0.292,0.344,05,045,1,2,False,1,5,15,100,"Describing the input grid: The input is a black grid containing grey line drawings made from color 5.
Describing the size of the output grid: The output grid has the same size as the input grid.
Describing how to transform the grid: Keep all grey cells unchanged. Find each connected black region that is trapped inside grey walls, allowing the left or right edge of the grid to act as a wall. A trapped region may not connect to the top or bottom edge or to the large outside background. Recolor every cell in such trapped regions yellow, color 4.",16x18,True,0.587
ec883f72,Easy,0,12x12,12x12,same-size edit/reconstruction,144,144,1.0,0.139,0.181,034,034,2,2,True,2,8,6,116,"Describing the input grid: The input contains a large angular outline or wall in one color, plus a smaller colored object separated from that wall by black cells.
Describing the size of the output grid: The output grid has the same size as the input grid.
Describing how to transform the grid: Keep the whole input unchanged. Identify the smaller object’s color. From each cell of that smaller object, look along the four diagonal directions. If the diagonal passes through only black cells and then hits a corner cell of the large wall, continue that same diagonal beyond the wall corner, coloring every black cell with the smaller object’s color until the grid edge is reached.",12x12,True,0.319
4be741c5,Medium,0,14x14,1x4,crop/extract/compress,196,4,0.02,1.0,1.0,1238,1238,4,4,True,4,4,,100,"Describing the input grid: The input is a colored grid where the relevant colors first appear in a consistent sequence when read from the top-left.
Describing the size of the output grid: The output contains each distinct input color exactly once; make it a row if the input has more columns than rows, otherwise make it a column.
Describing how to transform the grid: Scan the input in normal reading order, row by row from left to right. Record each new color the first time it appears, ignoring later repeats. Place those recorded colors in the output in that order.",4x1,False,1.0
