task_id,difficulty,hint,status,candidate_index,is_best,program,train_pass_all,train_correct_count,train_total_examples,train_accuracy,train_error,test_pass_all,test_correct_count,test_total_examples,test_accuracy,test_error,num_programs_requested,num_programs_parsed,fallback_used,error
025d127b,Easy,Pay attention to which blocks stay fixed and which ones move.,ok,1,False,"# candidate 1
import numpy as np

def transform_grid(input_grid: np.ndarray) -> np.ndarray:
    g = input_grid.copy()
    rows, cols = np.where(g != 0)
    if len(rows) == 0:
        return g
    cmin, cmax = cols.min(), cols.max()
    for r in np.unique(rows):
        cs = np.where(g[r] != 0)[0]
        if len(cs) == 0:
            continue
        if len(cs) >= 2 and cs.max() - cs.min() >= 2:
            g[r, cs.min():cs.max()+1] = g[r, cs.min()]
    # shift each colored object one cell to the right if possible
    out = np.zeros_like(g)
    for color in np.unique(g):
        if color == 0:
            continue
        mask = g == color
        rr, cc = np.where(mask)
        if len(rr) == 0:
            continue
        if cc.min() > 0:
            out[rr, cc + 1] = color
        else:
            out[rr, cc] = color
    return out",False,0,2,0.0,IndexError: index 9 is out of bounds for axis 1 with size 9,False,0,1,0.0,IndexError: index 10 is out of bounds for axis 1 with size 10,6,6,False,
025d127b,Easy,Pay attention to which blocks stay fixed and which ones move.,ok,2,False,"# candidate 2
import numpy as np

def transform_grid(grid: np.ndarray) -> np.ndarray:
    g = grid.copy()
    colors = [c for c in np.unique(g) if c != 0]
    for c in colors:
        coords = np.argwhere(g == c)
        if coords.size == 0:
            continue
        rmin, rmax = coords[:, 0].min(), coords[:, 0].max()
        cmin, cmax = coords[:, 1].min(), coords[:, 1].max()
        # If the object is a thin diagonal-like shape, fill its bounding box border row-wise
        if (rmax - rmin) >= 3 and (cmax - cmin) >= 3:
            for r in range(rmin, rmax + 1):
                row_cols = np.where(g[r] == c)[0]
                if len(row_cols) >= 2:
                    g[r, row_cols.min():row_cols.max()+1] = c
    # move all nonzero pixels one step right when the leftmost column is empty
    out = np.zeros_like(g)
    for c in colors:
        coords = np.argwhere(g == c)
        if coords.size == 0:
            continue
        if coords[:, 1].min() > 0:
            coords = coords.copy()
            coords[:, 1] += 1
        out[coords[:, 0], coords[:, 1]] = c
    return out",False,0,2,0.0,IndexError: index 9 is out of bounds for axis 1 with size 9,False,0,1,0.0,IndexError: index 10 is out of bounds for axis 1 with size 10,6,6,False,
025d127b,Easy,Pay attention to which blocks stay fixed and which ones move.,ok,3,True,"# candidate 3
import numpy as np

def transform_grid(grid: np.ndarray) -> np.ndarray:
    g = grid.copy()
    h, w = g.shape
    colors = [c for c in np.unique(g) if c != 0]
    for c in colors:
        pts = np.argwhere(g == c)
        if len(pts) == 0:
            continue
        # detect a single connected ""V"" or ""U"" shape and shift it right by one
        if pts[:, 1].min() > 0:
            g[g == c] = 0
            for r, col in pts:
                g[r, col + 1] = c
    return g",False,0,2,0.0,IndexError: index 9 is out of bounds for axis 1 with size 9,False,0,1,0.0,IndexError: index 10 is out of bounds for axis 1 with size 10,6,6,False,
025d127b,Easy,Pay attention to which blocks stay fixed and which ones move.,ok,4,False,"# candidate 4
import numpy as np

def transform_grid(grid: np.ndarray) -> np.ndarray:
    g = grid.copy()
    colors = [c for c in np.unique(g) if c != 0]
    for c in colors:
        coords = np.argwhere(g == c)
        if coords.size == 0:
            continue
        # fill horizontal gaps inside each row segment
        for r in np.unique(coords[:, 0]):
            cols = np.where(g[r] == c)[0]
            if len(cols) >= 2:
                g[r, cols.min():cols.max()+1] = c
    # then shift the whole colored pattern right by one if there is room
    out = np.zeros_like(g)
    for c in colors:
        coords = np.argwhere(g == c)
        if coords.size == 0:
            continue
        if coords[:, 1].max() < g.shape[1] - 1:
            coords = coords.copy()
            coords[:, 1] += 1
        out[coords[:, 0], coords[:, 1]] = c
    return out",False,0,2,0.0,,False,0,1,0.0,,6,6,False,
025d127b,Easy,Pay attention to which blocks stay fixed and which ones move.,ok,5,False,"# candidate 5
import numpy as np

def transform_grid(grid: np.ndarray) -> np.ndarray:
    g = grid.copy()
    h, w = g.shape
    colors = [c for c in np.unique(g) if c != 0]
    for c in colors:
        pts = np.argwhere(g == c)
        if len(pts) == 0:
            continue
        # If the object touches the left side of its bounding box, shift it right.
        cmin = pts[:, 1].min()
        if cmin > 0:
            g[g == c] = 0
            for r, col in pts:
                g[r, col + 1] = c
    return g",False,0,2,0.0,IndexError: index 9 is out of bounds for axis 1 with size 9,False,0,1,0.0,IndexError: index 10 is out of bounds for axis 1 with size 10,6,6,False,
025d127b,Easy,Pay attention to which blocks stay fixed and which ones move.,ok,6,False,"# candidate 6
import numpy as np

def transform_grid(grid: np.ndarray) -> np.ndarray:
    g = grid.copy()
    colors = [c for c in np.unique(g) if c != 0]
    for c in colors:
        pts = np.argwhere(g == c)
        if pts.size == 0:
            continue
        # normalize each colored component by shifting it one cell right
        if pts[:, 1].min() > 0:
            shifted = np.zeros_like(g)
            shifted[pts[:, 0], pts[:, 1] + 1] = c
            g[g == c] = 0
            g += shifted
    return g",False,0,2,0.0,IndexError: index 9 is out of bounds for axis 1 with size 9,False,0,1,0.0,IndexError: index 10 is out of bounds for axis 1 with size 10,6,6,False,
0a938d79,Easy,"The blocks’ initial positions and spacing, as well as the board’s width and height, will affect the result.",ok,1,False,"# candidate 1
import numpy as np

def transform_grid(input_grid: np.ndarray) -> np.ndarray:
    g = np.array(input_grid, copy=True)
    h, w = g.shape
    vals = [v for v in np.unique(g) if v != 0]
    if len(vals) < 2:
        return g
    vals = sorted(vals)
    for v in vals:
        pos = np.argwhere(g == v)
        if pos.size == 0:
            continue
        r, c = pos[0]
        if np.count_nonzero(g[r, :]) == 1:
            g[r, :] = v
        elif np.count_nonzero(g[:, c]) == 1:
            g[:, c] = v
    return g",False,0,4,0.0,,False,0,1,0.0,,6,6,False,
0a938d79,Easy,"The blocks’ initial positions and spacing, as well as the board’s width and height, will affect the result.",ok,2,False,"# candidate 2
import numpy as np

def transform_grid(grid: np.ndarray) -> np.ndarray:
    g = np.array(grid, copy=True)
    vals = [v for v in np.unique(g) if v != 0]
    if not vals:
        return g
    for v in vals:
        coords = np.argwhere(g == v)
        if coords.size == 0:
            continue
        r, c = coords[0]
        row_has = np.count_nonzero(g[r] != 0)
        col_has = np.count_nonzero(g[:, c] != 0)
        if row_has == 1:
            g[r, :] = v
        elif col_has == 1:
            g[:, c] = v
    return g",False,0,4,0.0,,False,0,1,0.0,,6,6,False,
0a938d79,Easy,"The blocks’ initial positions and spacing, as well as the board’s width and height, will affect the result.",ok,3,False,"# candidate 3
import numpy as np

def transform_grid(input_grid: np.ndarray) -> np.ndarray:
    g = np.array(input_grid, copy=True)
    colors = [x for x in np.unique(g) if x != 0]
    for x in colors:
        pts = np.argwhere(g == x)
        if len(pts) == 0:
            continue
        r, c = pts[0]
        if np.all(g[r, np.arange(g.shape[1])] == 0) or np.count_nonzero(g[r]) == 1:
            g[r, :] = x
        if np.all(g[np.arange(g.shape[0]), c] == 0) or np.count_nonzero(g[:, c]) == 1:
            g[:, c] = x
    return g",False,0,4,0.0,,False,0,1,0.0,,6,6,False,
0a938d79,Easy,"The blocks’ initial positions and spacing, as well as the board’s width and height, will affect the result.",ok,4,False,"# candidate 4
import numpy as np

def transform_grid(grid: np.ndarray) -> np.ndarray:
    out = np.array(grid, copy=True)
    nonzero = np.argwhere(out != 0)
    if nonzero.size == 0:
        return out
    # Fill full row/column for each isolated colored cell
    for r, c in nonzero:
        color = out[r, c]
        if np.count_nonzero(out[r, :] != 0) == 1:
            out[r, :] = color
        if np.count_nonzero(out[:, c] != 0) == 1:
            out[:, c] = color
    return out",False,0,4,0.0,,False,0,1,0.0,,6,6,False,
