experiment_order,experiment_folder,experiment_name,task_id,difficulty,test_examples,correct_test_examples,example_accuracy,task_correct,specificity_score,specificity_per_100_words,color_terms,spatial_terms,action_terms,object_terms,condition_terms,word_count,sentence_count,avg_sentence_length,hypothesis
0,2_hypo_program,Hypothesis + Program,025d127b,Easy,1,0,0.0,False,33,34.02061855670103,0,5,5,14,9,97,4,24.25,"Describing the input grid: The input contains one colored polyline-like object in the upper part of the grid and another in the lower part, with empty rows separating them.
Describing the size of the output grid: The output grid has the same dimensions as the input grid.
Describing how to transform the grid: For each colored object, shift every colored cell one step to the right if that does not move it outside the grid; keep cells that would move out of bounds in place. Apply this independently to each object and leave all background cells unchanged."
0,2_hypo_program,Hypothesis + Program,0a938d79,Easy,1,0,0.0,False,18,20.930232558139537,3,6,2,7,0,86,3,28.666666666666668,"Describing the input grid: The input is a mostly empty grid with a few colored cells placed in specific rows, and the separator row of 4s marks the start of a repeating sequence.
Describing the size of the output grid: The output preserves the original grid size.
Describing how to transform the grid: Detect the colors appearing in the nonzero cells, then fill alternating rows with full-width bands using those colors in the order they appear from top to bottom, leaving the intervening rows black."
0,2_hypo_program,Hypothesis + Program,0b148d64,Easy,1,0,0.0,False,41,35.96491228070175,2,12,3,19,5,114,5,22.8,"Describing the input grid: The input consists of a top pattern and a bottom pattern separated by blank space, where the bottom pattern is the same size as the top pattern and aligned to the same columns.
Describing the size of the output grid: The output grid keeps only the rows and columns occupied by the pattern blocks, so it matches the size of one of the blocks.
Describing how to transform the grid: Overlay the top block and the bottom block. Keep only the cells where the bottom block contains color and the top block contains black; all other cells become black. The surviving cells are recolored using the bottom block’s color."
0,2_hypo_program,Hypothesis + Program,0d3d703e,Easy,1,1,1.0,True,42,41.17647058823529,20,10,1,5,6,102,3,34.0,"Describing the input grid: The input is a 3x3 grid where each column is uniform top-to-bottom, and the three columns use three different colors.
Describing the size of the output grid: The output grid has the same 3x3 size.
Describing how to transform the grid: Recolor each column by shifting its color according to the column position: the left, middle, and right columns are mapped to the next three colors in a fixed ordered palette, specifically 3→4, 1→5, 2→6, 4→3, 8→9, 6→2, 9→8, 5→1, while preserving the column structure."
0,2_hypo_program,Hypothesis + Program,0dfd9992,Medium,1,1,1.0,True,31,36.470588235294116,6,6,1,11,7,85,3,28.333333333333332,"Describing the input grid: The input is made of a large grid whose rows and columns repeat with period 4, except that some cells are erased to black.
Describing the size of the output grid: The output grid is the same size as the input grid.
Describing how to transform the grid: Reconstruct the complete periodic grid by copying each row pattern every 4 rows and each column pattern every 4 columns, replacing all black cells with the value determined by that 4-step periodicity."
0,2_hypo_program,Hypothesis + Program,150deff5,Easy,1,0,0.0,False,30,31.25,8,6,1,13,2,96,3,32.0,"Describing the input grid: The input contains a single connected gray object drawn with color 5 on a black background.
Describing the size of the output grid: The output grid has the same size as the input grid.
Describing how to transform the grid: Replace every gray cell by one of two colors depending on its row position relative to the object’s topmost occupied row: cells in the upper half of the object become teal (8), and cells in the lower half become red (2), with the split determined by the object’s vertical midpoint."
0,2_hypo_program,Hypothesis + Program,178fcbfb,Easy,1,0,0.0,False,23,21.69811320754717,0,5,1,14,3,106,4,26.5,"Describing the input grid: The input contains one horizontal separator line and a set of colored marker cells placed either above or below it.
Describing the size of the output grid: The output grid keeps the same height and width as the input grid.
Describing how to transform the grid: Each marker cell is extended into a complete line using the orientation implied by its position relative to the separator row: markers above the separator become full rows of their color, while markers below the separator become full columns of their color. The separator row itself is preserved as a full line of its own color."
0,2_hypo_program,Hypothesis + Program,1c786137,Easy,1,0,0.0,False,11,13.253012048192772,0,2,1,6,2,83,3,27.666666666666668,"Describing the input grid: The input contains one or more rectangular panels separated by a full line of a distinct color acting as a divider.
Describing the size of the output grid: The output size is the same as one panel, not the full input.
Describing how to transform the grid: Split the input at the divider line, then take the panel below it, crop away any outer rows/columns that are entirely background or divider color, and output that cropped panel unchanged."
0,2_hypo_program,Hypothesis + Program,1f0c79e5,Expert,1,0,0.0,False,45,29.03225806451613,14,7,5,14,5,155,5,31.0,"Describing the input grid: The input is a 9x9 grid containing exactly one 2x2 non-black pattern placed near the center, with one colored cell acting as the “pivot” and the other three cells possibly black or different colors.
Describing the size of the output grid: The output grid is always 9x9.
Describing how to transform the grid: Find the non-black color that appears in the 2x2 pattern and use it to draw a 3-cell-thick diagonal band across the grid. The band is aligned so that the 2x2 input pattern determines the diagonal’s slope and starting position: if the non-black cells form a main-diagonal arrangement, extend that main diagonal into a thick stripe; if they form an anti-diagonal arrangement, extend that anti-diagonal into a thick stripe. Fill every cell touched by the 3-cell-thick diagonal band with that color, leaving all other cells black."
0,2_hypo_program,Hypothesis + Program,1f85a75f,Easy,1,0,0.0,False,45,34.35114503816794,18,4,2,16,5,131,5,26.2,"Describing the input grid: The input contains two 4x4 binary patterns of a single nonzero color, separated by a full horizontal divider row of color 4.
Describing the size of the output grid: The output is always a 4x4 grid.
Describing how to transform the grid: Split the input into the 4x4 block above the divider and the 4x4 block below it. Compare the two blocks cell-by-cell: if a cell is nonzero in both blocks or zero in both blocks, output 0; if exactly one of the two blocks has a nonzero cell there, output the nonzero color from the top block if it exists, otherwise use the nonzero color from the bottom block. Then replace every nonzero result with green (3)."
